analysis_category,height_category,source_family,split,count
ground_close_range,ground_height,gopro,test,62
ground_close_range,ground_height,gopro,train,390
ground_close_range,ground_height,gopro,val,86
ground_close_range,ground_height,iphone,test,50
ground_close_range,ground_height,iphone,train,267
ground_close_range,ground_height,iphone,val,52
ground_osmo,osmo_set,osmo,test,46
ground_osmo,osmo_set,osmo,train,145
ground_osmo,osmo_set,osmo,val,33
uav_high_altitude,high,uav_parrot,test,210
uav_high_altitude,high,uav_parrot,train,980
uav_high_altitude,high,uav_parrot,val,213
uav_low_altitude,low,uav_parrot,test,65
uav_low_altitude,low,uav_parrot,train,352
uav_low_altitude,low,uav_parrot,val,77
uav_mid_altitude,mid,uav_parrot,test,58
uav_mid_altitude,mid,uav_parrot,train,372
uav_mid_altitude,mid,uav_parrot,val,76
uav_mixed_all_heights,mixed_uav_heights,uav_mixed,test,5
uav_mixed_all_heights,mixed_uav_heights,uav_mixed,train,20
uav_mixed_all_heights,mixed_uav_heights,uav_mixed,val,5
