image_id,group,source_family,analysis_category,height_category,platform,device,height,unit,uav_height_m,image_path,mask_path,json_path,visualization_path,image_width,image_height,crack_pixels,total_pixels,crack_ratio,split_chunk_size,split
GoPro_3ft__000001,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000001.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000001.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000001.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000001_viz.png,3840,2160,260888,8294400,0.0314535108024691,10,test
GoPro_3ft__000002,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000002.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000002.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000002.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000002_viz.png,3840,2160,426981,8294400,0.0514782262731481,10,test
GoPro_3ft__000003,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000003.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000003.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000003.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000003_viz.png,3840,2160,548540,8294400,0.0661337770061728,10,test
GoPro_3ft__000004,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000004.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000004.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000004.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000004_viz.png,3840,2160,602070,8294400,0.0725875289351851,10,test
GoPro_3ft__000005,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000005.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000005.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000005.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000005_viz.png,3840,2160,816779,8294400,0.0984735484182098,10,test
GoPro_3ft__000006,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000006.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000006.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000006.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000006_viz.png,3840,2160,289946,8294400,0.0349568383487654,10,test
GoPro_3ft__000007,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000007.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000007.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000007.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000007_viz.png,3840,2160,385735,8294400,0.0465054735725308,10,test
GoPro_3ft__000008,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000008.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000008.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000008.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000008_viz.png,3840,2160,634003,8294400,0.0764374758873456,10,test
GoPro_3ft__000009,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000009.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000009.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000009.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000009_viz.png,3840,2160,702005,8294400,0.0846360194830247,10,test
GoPro_3ft__000010,gopro_3ft,gopro,ground_close_range,ground_height,ground,GoPro,3,ft,,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000010.jpg,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Masks\GoPro_3ft__000010.png,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Images and Jsons\GoPro_3ft__000010.json,D:\OneDrive - Louisiana State University\Flavia-Ioana Patrascu's files - 2- Abu Bakar\Journal_Paper_1\Final_Dataset\gopro_3ft\Visualization\GoPro_3ft__000010_viz.png,3840,2160,759341,8294400,0.0915486352237654,10,test
