group,analysis_category,split,count
gopro_3ft,ground_close_range,test,22
gopro_3ft,ground_close_range,train,150
gopro_3ft,ground_close_range,val,30
gopro_5ft,ground_close_range,test,40
gopro_5ft,ground_close_range,train,240
gopro_5ft,ground_close_range,val,56
iphone_3ft,ground_close_range,test,30
iphone_3ft,ground_close_range,train,180
iphone_3ft,ground_close_range,val,32
iphone_5ft,ground_close_range,test,20
iphone_5ft,ground_close_range,train,87
iphone_5ft,ground_close_range,val,20
uav_100_Meter,uav_high_altitude,test,10
uav_100_Meter,uav_high_altitude,train,44
uav_100_Meter,uav_high_altitude,val,10
uav_10_Meter,uav_low_altitude,test,5
uav_10_Meter,uav_low_altitude,train,34
uav_10_Meter,uav_low_altitude,val,10
uav_15_Meter,uav_mid_altitude,test,10
uav_15_Meter,uav_mid_altitude,train,60
uav_15_Meter,uav_mid_altitude,val,14
uav_20_Meter,uav_mid_altitude,test,3
uav_20_Meter,uav_mid_altitude,train,12
uav_20_Meter,uav_mid_altitude,val,3
uav_25_Meter,uav_mid_altitude,test,5
uav_25_Meter,uav_mid_altitude,train,40
uav_25_Meter,uav_mid_altitude,val,10
uav_30_Meter,uav_mid_altitude,test,40
uav_30_Meter,uav_mid_altitude,train,260
uav_30_Meter,uav_mid_altitude,val,49
uav_35_Meter,uav_high_altitude,test,100
uav_35_Meter,uav_high_altitude,train,529
uav_35_Meter,uav_high_altitude,val,120
uav_3_Meter,uav_low_altitude,test,30
uav_3_Meter,uav_low_altitude,train,180
uav_3_Meter,uav_low_altitude,val,37
uav_40_Meter,uav_high_altitude,test,30
uav_40_Meter,uav_high_altitude,train,170
uav_40_Meter,uav_high_altitude,val,40
uav_45_Meter,uav_high_altitude,test,30
uav_45_Meter,uav_high_altitude,train,100
uav_45_Meter,uav_high_altitude,val,20
uav_50_Meter,uav_high_altitude,test,30
uav_50_Meter,uav_high_altitude,train,110
uav_50_Meter,uav_high_altitude,val,18
uav_6_Meter,uav_low_altitude,test,30
uav_6_Meter,uav_low_altitude,train,138
uav_6_Meter,uav_low_altitude,val,30
uav_75_Meter,uav_high_altitude,test,10
uav_75_Meter,uav_high_altitude,train,27
uav_75_Meter,uav_high_altitude,val,5
uav_All_Heights,uav_mixed_all_heights,test,5
uav_All_Heights,uav_mixed_all_heights,train,20
uav_All_Heights,uav_mixed_all_heights,val,5
uav_Osmo_one,ground_osmo,test,10
uav_Osmo_one,ground_osmo,train,36
uav_Osmo_one,ground_osmo,val,10
uav_Osmo_three,ground_osmo,test,6
uav_Osmo_three,ground_osmo,train,16
uav_Osmo_three,ground_osmo,val,3
uav_Osmo_two,ground_osmo,test,30
uav_Osmo_two,ground_osmo,train,93
uav_Osmo_two,ground_osmo,val,20
